Region Name,City Name,School Name,School Score
City of Toronto,Toronto,Berner Trail,5.8
Peel Region,Mississauga,Christ The King,5.8
Durham Region,Oshawa,Dr S J Phillips,5.8
Peel Region,Mississauga,Father Daniel Zanon,5.8
Durham Region,Oshawa,Father Joseph Venini,5.8
Durham Region,Whitby,Glen Dhu,5.8
City of Toronto,Toronto,Guildwood,5.8
Halton Region,Milton,Hawthorne Village,5.8
City of Toronto,Toronto,James Culnan,5.8
Peel Region,Brampton,Our Lady of Providence,5.8
Peel Region,Mississauga,René-Lamoureux,5.8
City of Toronto,Toronto,Rose Avenue,5.8
Durham Region,Oshawa,Sir Albert Love,5.8
Durham Region,Pickering,Sir John A Macdonald,5.8
Peel Region,Mississauga,St. Basil,5.8
Halton Region,Burlington,St. Elizabeth Seton,5.8
City of Toronto,Toronto,St. John Vianney,5.8
City of Toronto,Toronto,St. Maria Goretti,5.8
City of Toronto,Toronto,St. Paschal Baylon,5.8
City of Toronto,Toronto,Terraview-Willowfield,5.8
York Region,Newmarket,Armitage Village,5.7
York Region,Stouffville,Ballantrae,5.7
Durham Region,Whitby,Bellwood,5.7
City of Toronto,Toronto,Donwood Park,5.7
Durham Region,Pickering,Glengrove,5.7
City of Toronto,Toronto,Grey Owl,5.7
Peel Region,Brampton,Our Lady of Peace,5.7
City of Toronto,Toronto,Regal Road,5.7
City of Toronto,Toronto,Regina Mundi,5.7
York Region,Newmarket,Rogers,5.7
Durham Region,Whitby,Sir William Stephenson,5.7
Peel Region,Brampton,St. Brigid,5.7
York Region,Woodbridge,St. Catherine of Siena,5.7
York Region,Maple,St. David,5.7
Peel Region,Mississauga,St. Joseph,5.7
Peel Region,Brampton,St. Monica,5.7
City of Toronto,Toronto,St. Norbert,5.7
Durham Region,Ajax,Viola Desmond,5.7
Peel Region,Caledon,Alloa,5.6
City of Toronto,Toronto,Blessed John XXIII,5.6
Durham Region,Whitby,C E Broughton,5.6
York Region,Newmarket,Clearmeadow,5.6
Peel Region,Brampton,Countryside Village,5.6
City of Toronto,Toronto,Danforth Gardens,5.6
City of Toronto,Toronto,Earl Beatty,5.6
Peel Region,Brampton,Father Francis McSpiritt,5.6
Durham Region,Oshawa,Forest View,5.6
City of Toronto,Toronto,General Crerar,5.6
City of Toronto,Toronto,George Webster,5.6
City of Toronto,Toronto,Holy Cross,5.6
City of Toronto,Toronto,J G Workman,5.6
City of Toronto,Toronto,Kane,5.6
York Region,Aurora,Light of Christ,5.6
City of Toronto,Toronto,Norman Cook,5.6
York Region,Aurora,Northern Lights,5.6
Halton Region,Burlington,Saint-Philippe,5.6
City of Toronto,Toronto,St. Alphonsus,5.6
Halton Region,Burlington,St. Marks,5.6
City of Toronto,Toronto,St. Paul,5.6
City of Toronto,Toronto,West Humber,5.6
Durham Region,Ajax,Alexander Graham Bell,5.5
City of Toronto,Toronto,Faywood Arts,5.5
City of Toronto,Toronto,Holy Family,5.5
York Region,Woodbridge,Immaculate Conception,5.5
Durham Region,Ajax,Lord Elgin,5.5
City of Toronto,Toronto,North Kipling,5.5
City of Toronto,Toronto,Our Lady of Guadalupe,5.5
City of Toronto,Toronto,Roselands,5.5
York Region,Woodbridge,San Marco,5.5
City of Toronto,Toronto,St. Bernard,5.5
Peel Region,Brampton,St. Cecilia,5.5
Peel Region,Brampton,St. Francis Xavier,5.5
Peel Region,Mississauga,St. Herbert,5.5
City of Toronto,Toronto,St. Joseph,5.5
Durham Region,Pickering,St. Monica,5.5
City of Toronto,Toronto,William Tredway,5.5
City of Toronto,Toronto,Bruce,5.4
Durham Region,Whitby,Dr Robert Thornton,5.4
City of Toronto,Toronto,Elmbank,5.4
City of Toronto,Toronto,F H Miller,5.4
Peel Region,Brampton,Georges Vanier,5.4
City of Toronto,Toronto,John A Leslie,5.4
City of Toronto,Toronto,Our Lady of the Assumption,5.4
City of Toronto,Toronto,Precious Blood,5.4
