Trend,School_Name,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3
Huntsville,Huntsville,5.8,n/a,,,,
Lasalle,Sudbury,5.8,n/a,,,,
St,James,Guelph,5.7,n/a,,,
Hammarskjold,Thunder,Bay,5.7,n/a,,,
Silverthorn,Toronto,5.7,n/a,,,,
St,Augustine,Brampton,5.7,n/a,,,
East,Northumberland,Brighton,5.7,n/a,,,
Paris,Paris,5.7,n/a,,,,
St,Benedict,Cambridge,5.7,n/a,,,
Delhi,Delhi,5.7,n/a,,,,
M,M,Robinson,Burlington,5.7,n/a,,
West,Humber,Toronto,5.7,n/a,,,
Brantford,Brantford,5.7,n/a,,,,
Holy,Cross,Strathroy,5.7,n/a,,,
Timiskaming,District,New,Liskeard,5.7,n/a,,
Fletchers,Meadow,Brampton,5.7,n/a,,,
Lindsay,Lindsay,5.7,n/a,,,,
Samuel-Genest,Ottawa,5.6,n/a,,,,
Senator,OConnor,Toronto,5.6,n/a,,,
Woburn,Toronto,5.6,n/a,,,,
St,Theresa,Belleville,5.6,n/a,,,
London,South,London,5.6,n/a,,,
St,Josephs,St,Thomas,5.6,n/a,,
Saltfleet,Stoney,Creek,5.6,n/a,,,
St,Joan,of,Arc,Barrie,5.6,n/a,
Campbellford,Campbellford,5.6,n/a,,,,
St,Thomas,More,Hamilton,5.6,n/a,,
Archbishop,Denis,OConnor,Ajax,5.6,n/a,,
Elmvale,Elmvale,5.6,n/a,,,,
Tagwi,Avonmore,5.6,n/a,,,,
Loyalist,Kingston,5.6,n/a,,,,
Father,Henry,Carr,Toronto,5.6,n/a,,
Sandalwood,Heights,Brampton,5.6,n/a,,,
Hillcrest,Ottawa,5.5,n/a,,,,
Cardinal,Newman,Toronto,5.5,n/a,,,
Parkside,St,Thomas,5.5,n/a,,,
Theriault,Timmins,5.5,n/a,,,,
Bishop,Alexander,Carter,Hanmer,5.5,n/a,,
Ingersoll,District,Ingersoll,5.5,n/a,,,
Toronto,Ouest,Toronto,5.5,n/a,,,
St,Peters,Barrie,5.5,n/a,,,
de,la,Verendrye,Thunder,Bay,5.5,n/a,
Vaughan,Road,Toronto,5.5,n/a,,,
John,Paul,II,London,5.5,n/a,,
John,McGregor,Chatham,5.5,n/a,,,
Hagersville,Hagersville,5.5,n/a,,,,
Sudbury,Sudbury,5.5,n/a,,,,
Gabriel-Dumont,London,5.4,n/a,,,,
St,Thomas,Aquinas,Brampton,5.4,n/a,,
Nouvelle-Alliance,Barrie,5.4,n/a,,,,
Wexford,Collegiate-Arts,Toronto,5.4,n/a,,,
Monsignor,Doyle,Cambridge,5.4,n/a,,,
Parry,Sound,Parry,Sound,5.4,n/a,,
Monsignor,John,Pereyma,Oshawa,5.4,n/a,,
Ridgetown,Ridgetown,5.4,n/a,,,,
Seaway,Iroquois,5.4,n/a,,,,
Twin,Lakes,Orillia,5.4,n/a,,,
Le,Relais,Alexandria,5.4,n/a,,,
Brookfield,Ottawa,5.4,n/a,,,,
Eastdale,Oshawa,5.4,n/a,,,,
de,Casselman,Casselman,5.3,n/a,,,
Elliot,Lake,Elliot,Lake,5.3,n/a,,
St,Marys,St,Marys,5.3,n/a,,
Franco-Cit,Sturgeon,Falls,5.3,n/a,,,
Glendale,Tillsonburg,5.3,n/a,,,,
lEssor,Tecumseh,5.3,n/a,,,,
Central,Huron,Clinton,5.3,n/a,,,
Lester,B,Pearson,Toronto,5.3,n/a,,
Madonna,Toronto,5.3,n/a,,,,
St,Josephs,Barrie,5.3,n/a,,,
Gloucester,Gloucester,5.3,n/a,,,,
Lambton,Kent,Dresden,5.3,n/a,,,
W,F,Herman,Windsor,5.3,n/a,,
Kirkland,Lake,Kirkland,Lake,5.3,n/a,,
Russel,High,Russell,5.3,n/a,,,
Parkdale,Toronto,5.3,n/a,,,,
Sir,Wilfrid,Laurier,Toronto,5.3,n/a,,
St,Patricks,Ottawa,5.3,n/a,,,
Central,Algoma,Desbarats,5.3,n/a,,,
Glenview,Park,Cambridge,5.3,n/a,,,
St,Catharines,St,Catharines,5.3,n/a,,
David,Suzuki,Brampton,5.3,n/a,,,
Holy,Trinity,Bradford,5.3,n/a,,,
Lively,Lively,5.3,n/a,,,,
Simcoe,Simcoe,5.2,n/a,,,,
Jean,Vanier,Toronto,5.2,n/a,,,
North,Middlesex,Parkhill,5.2,n/a,,,
St,Joan,of,Arc,Maple,5.2,n/a,
Clarington,Central,Bowmanville,5.2,n/a,,,
Eastwood,Kitchener,5.2,n/a,,,,
Michipicoten,Wawa,5.2,n/a,,,,
DSBN,Academy,St,Catharines,5.2,n/a,,
Goderich,Goderich,5.1,n/a,,,,
Beamsville,Beamsville,5.1,n/a,,,,
Blenheim,Blenheim,5.1,n/a,,,,
Monsignor,Paul,Dwyer,Oshawa,5.1,n/a,,
James,Cardinal,McGuigan,Toronto,5.1,n/a,,
Beaver,Brae,Kenora,5.1,n/a,,,
